district,state,state_code,district_code
Adilabad,Telangana,28,01
Agra,Uttar_Pradesh,09,15
Ahmadabad,Gujarat,24,07
Ahmadnagar,Maharashtra,27,26
Aizawl,Mizoram,15,03
Ajmer,Rajasthan,08,21
Akola,Maharashtra,27,05
Alappuzha,Kerala,32,11
Aligarh,Uttar_Pradesh,09,12
Allahabad,Uttar_Pradesh,09,45
Almora,Uttaranchal,05,09
Alwar,Rajasthan,08,06
Ambala,Haryana,06,02
Ambedkar_Nagar,Uttar_Pradesh,09,48
Amravati,Maharashtra,27,07
Amreli,Gujarat,24,13
Amritsar,Punjab,03,02
Anand,Gujarat,24,15
Anantapur,Andhra_Pradesh,28,22
Anantnag,Jammu_and_Kashmir,01,06
Andamans,Andaman_and_Nicobar,35,01
Anugul,Orissa,21,15
Araria,Bihar,10,07
Ariyalur,Tamil_Nadu,33,17
Auraiya,Uttar_Pradesh,09,32
Aurangabad_(Bihar),Bihar,10,34
Aurangabad_(Maharashtra),Maharashtra,27,19
Azamgarh,Uttar_Pradesh,09,61
Badgam,Jammu_and_Kashmir,01,04
Bagalkot,Karnataka,29,02
Bageshwar,Uttaranchal,05,08
Baghpat,Uttar_Pradesh,09,08
Bahraich,Uttar_Pradesh,09,50
Balaghat,Madhya_Pradesh,23,45
Balangir,Orissa,21,24
Baleshwar,Orissa,21,08
Ballia,Uttar_Pradesh,09,63
Balrampur,Uttar_Pradesh,09,52
Banas_Kantha,Gujarat,24,02
Banda,Uttar_Pradesh,09,40
Bangalore,Karnataka,29,20
Bangalore_Rural,Karnataka,29,21
Banka,Bihar,10,23
Bankura,West_Bengal,19,13
Banswara,Rajasthan,08,28
Barabanki,Uttar_Pradesh,09,46
Baramula,Jammu_and_Kashmir,01,02
Baran,Rajasthan,08,31
Barddhaman,West_Bengal,19,09
Bareilly,Uttar_Pradesh,09,20
Bargarh,Orissa,21,01
Barmer,Rajasthan,08,17
Barpeta,Assam,18,05
Barwani,Madhya_Pradesh,23,28
Bastar,Chhattisgarh,22,15
Basti,Uttar_Pradesh,09,55
Bathinda,Punjab,03,14
Baudh,Orissa,21,22
